,DBN,School Name,Year,Number Tested,Mean Scale Score,# Level 1,# Level 2,# Level 3,# Level 4
6431,14K157,P.S./I.S. 157 THE BENJAMIN FRANKLIN HEALTH & SCIENCE ACADEMY,2015,55,286.0,23.0,25.0,6.0,1.0
6491,14K318,I.S. 318 EUGENIO MARIA DE HOSTOS,2015,328,289.0,116.0,184.0,27.0,1.0
6503,14K330,THE SCHOOL FOR THE URBAN ENVIRONMENT,2015,14,275.0,10.0,3.0,1.0,0.0
6533,14K577,CONSELYEA PREPARATORY SCHOOL,2015,85,278.0,49.0,34.0,2.0,0.0
6556,14K586,LYONS COMMUNITY SCHOOL,2015,64,266.0,48.0,16.0,0.0,0.0
6569,14K614,YOUNG WOMEN'S LEADERSHIP SCHOOL OF BROOKLYN,2015,40,296.0,12.0,22.0,4.0,2.0
6677,15K051,M.S. 51 WILLIAM ALEXANDER,2015,179,316.0,23.0,68.0,72.0,16.0
6701,15K088,J.H.S. 088 PETER ROUGET,2015,245,298.0,69.0,139.0,31.0,6.0
6774,15K136,I.S. 136 CHARLES O. DEWEY,2015,145,279.0,90.0,45.0,7.0,3.0
6880,15K429,BROOKLYN SCHOOL FOR GLOBAL STUDIES,2015,28,277.0,19.0,7.0,2.0,0.0
6892,15K442,M.S. 442 CARROLL GARDENS SCHOOL FOR INNOVATION,2015,36,268.0,27.0,9.0,0.0,0.0
6905,15K443,NEW VOICES SCHOOL OF ACADEMIC & CREATIVE ARTS,2015,86,300.0,13.0,59.0,13.0,1.0
6917,15K447,THE MATH & SCIENCE EXPLORATORY SCHOOL,2015,67,323.0,4.0,25.0,28.0,10.0
6929,15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,2015,19,273.0,11.0,8.0,0.0,0.0
6941,15K464,PARK SLOPE COLLEGIATE,2015,22,283.0,10.0,10.0,1.0,1.0
6953,15K497,SCHOOL FOR INTERNATIONAL STUDIES,2015,42,274.0,23.0,17.0,2.0,0.0
6977,15K821,SUNSET PARK PREP,2015,92,278.0,43.0,47.0,2.0,0.0
7047,16K035,M.S. 035 STEPHEN DECATUR,2015,37,283.0,20.0,14.0,3.0,0.0
7071,16K057,J.H.S. 057 WHITELAW REID,2015,57,281.0,34.0,16.0,6.0,1.0
7116,16K262,P.S. 262 EL HAJJ MALIK EL SHABAZZ ELEMENTARY SCHOOL,2015,40,295.0,17.0,14.0,6.0,3.0
7128,16K267,"M.S. 267 MATH, SCIENCE & TECHNOLOGY",2015,74,290.0,36.0,19.0,15.0,4.0
7149,16K308,P.S. 308 CLARA CARDWELL,2015,58,292.0,23.0,26.0,5.0,4.0
7185,16K385,"SCHOOL OF BUSINESS, FINANCE AND ENTREPRENEURSHIP",2015,26,278.0,14.0,11.0,0.0,1.0
7198,16K534,UPPER SCHOOL @ P.S. 25,2015,33,288.0,19.0,11.0,3.0,0.0
7210,16K584,M.S. 584,2015,26,274.0,15.0,9.0,1.0,1.0
7255,16K681,MADIBA PREP MIDDLE SCHOOL,2015,71,265.0,51.0,19.0,1.0,0.0
7267,17K002,PARKSIDE PREPARATORY ACADEMY,2015,134,298.0,49.0,58.0,19.0,8.0
7302,17K061,M.S. 061 DR. GLADSTONE H. ATWELL,2015,259,291.0,114.0,111.0,28.0,6.0
7347,17K138,P.S. 138 BROOKLYN,2015,79,304.0,26.0,28.0,13.0,12.0
7394,17K181,P.S. 181 BROOKLYN,2015,79,278.0,47.0,27.0,5.0,0.0
7415,17K189,P.S. 189 THE BILINGUAL CENTER,2015,124,318.0,12.0,59.0,33.0,20.0
7463,17K246,M.S. 246 WALT WHITMAN,2015,195,270.0,131.0,48.0,14.0,2.0
7510,17K334,MIDDLE SCHOOL FOR ACADEMIC AND SOCIAL EXCELLENCE,2015,57,263.0,43.0,13.0,1.0,0.0
7522,17K340,I.S. 340,2015,66,305.0,17.0,30.0,16.0,3.0
7534,17K352,EBBETS FIELD MIDDLE SCHOOL,2015,54,262.0,45.0,9.0,0.0,0.0
7546,17K353,ELIJAH STROUD MIDDLE SCHOOL,2015,85,279.0,50.0,31.0,4.0,0.0
7558,17K354,THE SCHOOL OF INTEGRATED LEARNING,2015,80,294.0,34.0,22.0,11.0,13.0
7583,17K382,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,2015,50,289.0,25.0,12.0,13.0,0.0
7604,17K394,M.S. K394,2015,77,291.0,34.0,35.0,6.0,2.0
7654,17K484,RONALD EDMONDS LEARNING CENTER II,2015,36,284.0,21.0,12.0,3.0,0.0
7666,17K531,"SCHOOL FOR HUMAN RIGHTS, THE",2015,41,278.0,22.0,19.0,0.0,0.0
7680,17K533,SCHOOL FOR DEMOCRACY AND LEADERSHIP,2015,19,279.0,9.0,9.0,1.0,0.0
7691,17K543,"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",2015,49,313.0,4.0,31.0,14.0,0.0
7718,17K722,NEW HEIGHTS MIDDLE SCHOOL,2015,118,263.0,92.0,26.0,0.0,0.0
7748,18K066,P.S. 66,2015,98,308.0,17.0,54.0,22.0,5.0
7759,18K068,I.S. 068 ISAAC BILDERSEE,2015,212,288.0,89.0,107.0,16.0,0.0
7819,18K211,I.S. 211 JOHN WILSON,2015,200,288.0,84.0,89.0,27.0,0.0
7865,18K235,P.S. 235 LENOX SCHOOL,2015,53,336.0,2.0,9.0,22.0,20.0
7938,18K285,I.S. 285 MEYER LEVIN,2015,248,294.0,95.0,108.0,32.0,13.0
7950,18K366,THE SCIENCE AND MEDICINE MIDDLE SCHOOL,2015,126,293.0,57.0,26.0,32.0,11.0
7962,18K581,EAST FLATBUSH COMMUNITY RESEARCH SCHOOL,2015,62,280.0,32.0,24.0,5.0,1.0
7974,18K588,MIDDLE SCHOOL FOR ART AND PHILOSOPHY,2015,100,283.0,55.0,41.0,4.0,0.0
7986,18K598,MIDDLE SCHOOL OF MARKETING AND LEGAL STUDIES,2015,92,275.0,56.0,30.0,5.0,1.0
8045,19K089,P.S. 089 CYPRESS HILLS,2015,61,296.0,15.0,37.0,8.0,1.0
8102,19K166,J.H.S. 166 GEORGE GERSHWIN,2015,86,270.0,61.0,24.0,1.0,0.0
8115,19K171,I.S. 171 ABRAHAM LINCOLN,2015,249,287.0,124.0,84.0,30.0,11.0
8132,19K174,P.S. 174 DUMONT,2015,38,288.0,18.0,13.0,6.0,1.0
8163,19K202,P.S. 202 ERNEST S. JENKYNS,2015,62,284.0,33.0,21.0,8.0,0.0
8199,19K218,J.H.S. 218 JAMES P. SINNOTT,2015,105,269.0,76.0,27.0,2.0,0.0
8248,19K292,J.H.S. 292 MARGARET S. DOUGLAS,2015,185,264.0,144.0,35.0,5.0,1.0
8257,19K302,J.H.S. 302 RAFAEL CORDERO,2015,249,275.0,152.0,79.0,18.0,0.0
8278,19K306,P.S. 306 ETHAN ALLEN,2015,64,259.0,52.0,11.0,1.0,0.0
8290,19K311,ESSENCE SCHOOL,2015,42,272.0,29.0,12.0,1.0,0.0
8351,19K364,I.S. 364 GATEWAY,2015,78,281.0,45.0,25.0,5.0,3.0
8368,19K409,EAST NEW YORK FAMILY ACADEMY,2015,63,317.0,10.0,24.0,19.0,10.0
8377,19K422,SPRING CREEK COMMUNITY SCHOOL,2015,73,283.0,34.0,29.0,9.0,1.0
8389,19K452,FREDERICK DOUGLASS ACADEMY VIII MIDDLE SCHOOL,2015,25,271.0,15.0,9.0,1.0,0.0
8435,19K678,EAST NEW YORK MIDDLE SCHOOL OF EXCELLENCE,2015,52,272.0,38.0,13.0,1.0,0.0
8449,20K030,PS/IS 30 MARY WHITE OVINGTON,2015,117,319.0,18.0,50.0,25.0,24.0
8474,20K062,J.H.S. 062 DITMAS,2015,404,299.0,129.0,177.0,67.0,31.0
8519,20K104,P.S./I.S. 104 THE FORT HAMILTON SCHOOL,2015,153,313.0,25.0,72.0,28.0,28.0
8589,20K163,P.S. 163 BATH BEACH,2015,65,331.0,6.0,22.0,12.0,25.0
8658,20K180,THE SEEALL ACADEMY,2015,102,323.0,7.0,39.0,41.0,15.0
8694,20K187,THE CHRISTA MCAULIFFE SCHOOL\I.S. 187,2015,129,362.0,1.0,1.0,21.0,106.0
8716,20K192,P.S. 192 - THE MAGNET SCHOOL FOR MATH AND SCIENCE INQUIRY,2015,44,305.0,13.0,14.0,14.0,3.0
8740,20K201,J.H.S. 201 THE DYKER HEIGHTS,2015,265,315.0,43.0,105.0,77.0,40.0
8774,20K220,J.H.S. 220 JOHN J. PERSHING,2015,438,318.0,81.0,161.0,91.0,105.0
8786,20K223,J.H.S. 223 THE MONTAUK,2015,269,321.0,51.0,76.0,75.0,67.0
8798,20K227,J.H.S. 227 EDWARD B. SHALLOW,2015,438,315.0,101.0,138.0,116.0,83.0
8819,20K229,P.S. 229 DYKER,2015,62,309.0,14.0,28.0,14.0,6.0
8843,20K259,J.H.S. 259 WILLIAM MCKINLEY,2015,433,329.0,45.0,135.0,120.0,133.0
8888,21K099,P.S. 099 ISAAC ASIMOV,2015,58,286.0,23.0,26.0,9.0,0.0
8894,20K609,URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE,2015,33,289.0,15.0,11.0,7.0,0.0
8965,21K095,P.S. 095 THE GRAVESEND,2015,44,301.0,8.0,31.0,2.0,3.0
8977,21K096,I.S. 096 SETH LOW,2015,234,305.0,75.0,75.0,52.0,32.0
9001,21K098,I.S. 98 BAY ACADEMY,2015,438,352.0,0.0,60.0,136.0,242.0
9067,21K121,P.S. 121 NELSON A. ROCKEFELLER,2015,33,329.0,3.0,11.0,7.0,12.0
9122,22K109,P.S. 109,2015,84,293.0,33.0,37.0,11.0,3.0
9149,21K209,P.S. 209 MARGARET MEAD,2015,45,290.0,14.0,26.0,5.0,0.0
9207,21K225,P.S. K225 - THE EILEEN E. ZAGLIN,2015,135,298.0,52.0,47.0,24.0,12.0
9229,21K226,P.S. 226 ALFRED DE B.MASON,2015,51,307.0,10.0,27.0,13.0,1.0
9242,21K228,I.S. 228 DAVID A. BOODY,2015,315,308.0,85.0,111.0,64.0,55.0
9263,21K238,P.S. 238 ANNE SULLIVAN,2015,30,261.0,27.0,3.0,0.0,0.0
9275,21K239,MARK TWAIN I.S. 239 FOR THE GIFTED & TALENTED,2015,154,322.0,11.0,67.0,52.0,24.0
9299,21K281,I.S. 281 JOSEPH B CAVALLARO,2015,404,321.0,60.0,148.0,104.0,92.0
9320,21K288,P.S. 288 THE SHIRLEY TANYHILL,2015,25,281.0,13.0,9.0,3.0,0.0
9332,21K303,I.S. 303 HERBERT S. EISENBERG,2015,142,284.0,77.0,55.0,8.0,2.0
9356,21K468,KINGSBOROUGH EARLY COLLEGE SCHOOL,2015,40,300.0,5.0,32.0,3.0,0.0
9368,21K690,BROOKLYN STUDIO SECONDARY SCHOOL,2015,66,302.0,15.0,36.0,14.0,1.0
9380,22K014,J.H.S. 014 SHELL BANK,2015,170,295.0,66.0,67.0,21.0,16.0
9404,22K078,J.H.S. 078 ROY H. MANN,2015,299,280.0,160.0,105.0,29.0,5.0
9565,22K206,P.S. 206 JOSEPH F LAMB,2015,67,323.0,2.0,31.0,26.0,8.0
9586,22K207,P.S. 207 ELIZABETH G. LEARY,2015,84,297.0,22.0,48.0,11.0,3.0
9622,22K234,J.H.S. 234 ARTHUR W. CUNNINGHAM,2015,600,331.0,53.0,194.0,151.0,202.0
9646,22K240,ANDRIES HUDDE,2015,308,306.0,82.0,127.0,55.0,44.0
9732,22K278,J.H.S. 278 MARINE PARK,2015,330,306.0,75.0,158.0,72.0,25.0
9766,22K381,I. S. 381,2015,108,295.0,47.0,37.0,16.0,8.0
9787,23K041,P.S. 041 FRANCIS WHITE,2015,43,285.0,24.0,13.0,4.0,2.0
9804,23K073,P.S. 073 THOMAS S. BOYLAND,2015,22,292.0,9.0,10.0,2.0,1.0
9825,23K137,P.S./I.S. 137 RACHEL JEAN MITCHELL,2015,28,275.0,16.0,11.0,1.0,0.0
9858,23K155,P.S./ I.S. 155 NICHOLAS HERKIMER,2015,57,288.0,24.0,26.0,5.0,2.0
9891,23K165,P.S. 165 IDA POSNER,2015,47,258.0,41.0,4.0,1.0,1.0
9912,23K178,P.S. 178 SAINT CLAIR MCKELWAY,2015,39,279.0,24.0,14.0,0.0,1.0
9933,23K184,P.S. 184 NEWPORT,2015,44,292.0,20.0,19.0,5.0,0.0
9955,23K284,P.S. 284 LEW WALLACE,2015,53,278.0,32.0,13.0,7.0,1.0
9991,23K323,P.S./I.S. 323,2015,51,286.0,23.0,20.0,5.0,3.0
10012,23K327,P.S. 327 DR. ROSE B. ENGLISH,2015,57,259.0,49.0,8.0,0.0,0.0
10021,23K363,BROWNSVILLE COLLABORATIVE MIDDLE SCHOOL,2015,58,276.0,35.0,18.0,4.0,1.0
10031,23K392,I.S. 392,2015,76,302.0,10.0,56.0,10.0,0.0
10057,23K518,KAPPA V,2015,55,279.0,33.0,22.0,0.0,0.0
10069,23K522,MOTT HALL IV,2015,42,277.0,25.0,17.0,0.0,0.0
10090,23K634,GENERAL D. CHAPPIE JAMES MIDDLE SCHOOL OF SCIENCE,2015,23,253.0,18.0,5.0,0.0,0.0
10102,23K644,EAGLE ACADEMY FOR YOUNG MEN II,2015,73,286.0,35.0,27.0,11.0,0.0
10125,23K671,MOTT HALL BRIDGES ACADEMY,2015,57,293.0,17.0,35.0,3.0,2.0
10138,23K697,TEACHERS PREPARATORY HIGH SCHOOL,2015,27,296.0,11.0,8.0,7.0,1.0
10150,24Q005,I.S. 5 - THE WALTER CROWLEY INTERMEDIATE SCHOOL,2015,510,311.0,90.0,209.0,156.0,55.0
10237,24Q049,P.S. 049 DOROTHY BONAWIT KOLE,2015,90,314.0,11.0,42.0,27.0,10.0
10264,24Q061,I.S. 061 LEONARDO DA VINCI,2015,768,295.0,295.0,318.0,102.0,53.0
10301,24Q073,I.S. 73 - THE FRANK SANSIVIERI INTERMEDIATE SCHOOL,2015,663,312.0,126.0,289.0,147.0,101.0
10313,24Q077,I.S. 077,2015,319,281.0,165.0,132.0,18.0,4.0
10346,24Q087,P.S. / I.S. 087 MIDDLE VILLAGE,2015,45,299.0,11.0,27.0,5.0,2.0
10393,24Q093,I.S. 093 RIDGEWOOD,2015,304,294.0,97.0,174.0,28.0,5.0
10414,24Q102,P.S. 102 BAYVIEW,2015,117,330.0,6.0,41.0,38.0,32.0
10436,24Q113,P.S./I.S. 113 ANTHONY J. PRANZO,2015,96,322.0,9.0,38.0,32.0,17.0
10449,24Q119,I.S. 119 THE GLENDALE,2015,86,275.0,56.0,29.0,1.0,0.0
10463,24Q125,I.S. 125 THOM J. MCCANN WOODSIDE,2015,385,312.0,67.0,175.0,95.0,48.0
10485,24Q128,"P.S. 128 THE LORRAINE TUZZO, JUNIPER VALLEY ELEMENTARY SCHOOL",2015,46,312.0,4.0,26.0,15.0,1.0
10589,24Q560,"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",2015,53,321.0,4.0,23.0,21.0,5.0
10658,25Q025,I.S. 025 ADRIEN BLOCK,2015,271,333.0,18.0,90.0,72.0,91.0
10782,25Q164,P.S. 164 QUEENS VALLEY,2015,43,312.0,7.0,21.0,13.0,2.0
10830,25Q185,J.H.S. 185 EDWARD BLEEKER,2015,422,323.0,62.0,135.0,124.0,101.0
10842,25Q189,J.H.S. 189 DANIEL CARTER BEARD,2015,159,295.0,55.0,70.0,23.0,11.0
10866,25Q194,J.H.S. 194 WILLIAM CARR,2015,325,315.0,82.0,102.0,60.0,81.0
10887,25Q200,PS/MS 200 - THE POMONOK SCHOOL & STAR ACADEMY,2015,50,304.0,13.0,22.0,11.0,4.0
10946,25Q219,P.S. 219 PAUL KLAPPER,2015,6,275.0,4.0,2.0,0.0,0.0
10958,25Q237,I.S. 237,2015,372,326.0,40.0,120.0,117.0,95.0
10983,25Q250,I.S. 250 THE ROBERT F. KENNEDY COMMUNITY MIDDLE SCHOOL,2015,124,299.0,42.0,54.0,17.0,11.0
10995,25Q252,"QUEENS SCHOOL OF INQUIRY, THE",2015,58,293.0,19.0,33.0,5.0,1.0
11006,25Q281,EAST-WEST SCHOOL OF INTERNATIONAL STUDIES,2015,23,301.0,7.0,12.0,3.0,1.0
11030,25Q294,BELL ACADEMY,2015,62,283.0,32.0,27.0,3.0,0.0
11051,25Q499,"THE QUEENS COLLEGE SCHOOL FOR MATH, SCIENCE AND TECHNOLOGY",2015,53,336.0,3.0,14.0,15.0,21.0
11135,26Q074,J.H.S. 074 NATHANIEL HAWTHORNE,2015,178,321.0,14.0,69.0,66.0,29.0
11196,26Q158,M.S. 158 MARIE CURIE,2015,196,321.0,20.0,83.0,53.0,40.0
11231,26Q172,IRWIN ALTMAN MIDDLE SCHOOL 172,2015,174,301.0,45.0,94.0,29.0,6.0
11264,26Q178,P.S./ IS 178 HOLLISWOOD,2015,1,,,,,
11348,26Q216,J.H.S. 216 GEORGE J. RYAN,2015,316,324.0,20.0,126.0,112.0,58.0
11381,26Q266,P.S. / I.S. 266,2015,94,333.0,5.0,28.0,30.0,31.0
11402,27Q042,P.S./M.S 042 R. VERNAM,2015,6,245.0,5.0,1.0,0.0,0.0
11423,27Q043,P.S. 043,2015,56,274.0,38.0,15.0,3.0,0.0
11458,27Q047,P.S. 047 CHRIS GALAS,2015,10,330.0,0.0,5.0,2.0,3.0
11470,27Q053,M.S. 053 BRIAN PICCOLO,2015,130,264.0,93.0,33.0,4.0,0.0
11636,27Q105,P.S. 105 THE BAY SCHOOL,2015,62,271.0,43.0,18.0,1.0,0.0
11682,27Q114,P.S. / M.S. 114 BELLE HARBOR,2015,32,301.0,12.0,12.0,5.0,3.0
11715,27Q124,P.S. 124 OSMOND A CHURCH,2015,106,302.0,24.0,60.0,20.0,2.0
11728,27Q137,M.S. 137 AMERICA'S SCHOOL OF HEROES,2015,463,292.0,168.0,238.0,55.0,2.0
11749,27Q146,P.S. 146 HOWARD BEACH,2015,52,303.0,14.0,19.0,16.0,3.0
11782,27Q183,P.S. 183 DR. RICHARD R. GREEN,2015,51,279.0,28.0,19.0,4.0,0.0
11806,27Q202,J.H.S. 202 ROBERT H. GODDARD,2015,271,287.0,117.0,128.0,24.0,2.0
11826,27Q207,P.S. 207 ROCKWOOD PARK,2015,71,315.0,15.0,26.0,17.0,13.0
11838,27Q210,J.H.S. 210 ELIZABETH BLACKWELL,2015,486,292.0,198.0,204.0,61.0,23.0
11872,27Q226,J.H.S. 226 VIRGIL I. GRISSOM,2015,440,289.0,190.0,177.0,60.0,13.0
11893,27Q232,P.S. 232 LINDENWOOD,2015,43,297.0,11.0,29.0,3.0,0.0
11929,27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,2015,64,310.0,7.0,37.0,17.0,3.0
11974,27Q309,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,2015,43,269.0,36.0,7.0,0.0,0.0
11998,27Q318,WATERSIDE SCHOOL FOR LEADERSHIP,2015,53,286.0,28.0,17.0,7.0,1.0
12009,27Q319,VILLAGE ACADEMY,2015,91,273.0,57.0,31.0,3.0,0.0
12020,27Q323,SCHOLARS' ACADEMY,2015,7,305.0,1.0,6.0,0.0,0.0
12041,27Q333,GOLDIE MAPLE ACADEMY,2015,16,310.0,3.0,7.0,6.0,0.0
12058,28Q008,J.H.S. 008 RICHARD S. GROSSLEY,2015,184,282.0,92.0,83.0,8.0,1.0
12132,28Q072,CATHERINE & COUNT BASIE MIDDLE SCHOOL 72,2015,283,283.0,159.0,87.0,26.0,11.0
12273,28Q157,J.H.S. 157 STEPHEN A. HALSEY,2015,271,304.0,75.0,108.0,64.0,24.0
12310,28Q167,METROPOLITAN EXPEDITIONARY LEARNING SCHOOL,2015,56,288.0,23.0,28.0,4.0,1.0
12357,28Q190,J.H.S. 190 RUSSELL SAGE,2015,349,319.0,77.0,95.0,82.0,95.0
12393,28Q217,J.H.S. 217 ROBERT A. VAN WYCK,2015,63,253.0,53.0,9.0,1.0,0.0
12417,28Q284,YORK EARLY COLLEGE ACADEMY,2015,29,285.0,14.0,14.0,1.0,0.0
12440,28Q310,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,2015,46,266.0,33.0,13.0,0.0,0.0
12460,28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,2015,93,334.0,2.0,31.0,33.0,27.0
12472,28Q896,"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS",2015,68,319.0,9.0,25.0,20.0,14.0
12578,29Q059,I.S. 059 SPRINGFIELD GARDENS,2015,167,292.0,72.0,62.0,25.0,8.0
12602,29Q109,JEAN NUZZI INTERMEDIATE SCHOOL,2015,298,283.0,159.0,108.0,26.0,5.0
12624,29Q116,PS/IS 116 WILLIAM C. HUGHLEY,2015,41,286.0,18.0,16.0,6.0,1.0
12716,29Q138,P.S./ M.S.138 SUNRISE,2015,41,264.0,33.0,8.0,0.0,0.0
12737,29Q147,PS/MS 147 RONALD MCNAIR,2015,83,294.0,34.0,36.0,11.0,2.0
12755,29Q156,P.S. 156 LAURELTON,2015,67,289.0,32.0,28.0,4.0,3.0
12791,29Q192,I.S. 192 THE LINDEN,2015,165,285.0,80.0,72.0,12.0,1.0
12824,29Q208,P.S. / I.S. 208,2015,82,319.0,11.0,32.0,21.0,18.0
12836,29Q238,I.S. 238 - SUSAN B. ANTHONY ACADEMY,2015,495,280.0,274.0,191.0,26.0,4.0
12854,29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL,2015,78,286.0,37.0,31.0,10.0,0.0
12875,29Q268,PS/IS 268,2015,44,306.0,13.0,17.0,9.0,5.0
12896,29Q270,THE GORDON PARKS SCHOOL,2015,59,291.0,23.0,28.0,7.0,1.0
12908,29Q283,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,2015,52,313.0,11.0,19.0,16.0,6.0
12934,29Q295,P.S./I.S. 295,2015,55,326.0,4.0,19.0,23.0,9.0
12946,29Q327,EAGLE ACADEMY FOR YOUNG MEN III,2015,88,286.0,40.0,38.0,7.0,3.0
12957,29Q355,COLLABORATIVE ARTS MIDDLE SCHOOL,2015,153,282.0,97.0,46.0,6.0,4.0
12968,29Q356,COMMUNITY VOICES MIDDLE SCHOOL,2015,156,275.0,101.0,43.0,10.0,2.0
12992,30Q010,I.S. 010 HORACE GREELEY,2015,312,314.0,63.0,125.0,69.0,55.0
13091,30Q084,P.S. 084 STEINWAY,2015,16,307.0,4.0,6.0,5.0,1.0
13136,30Q111,P.S. 111 JACOB BLACKWELL,2015,44,280.0,24.0,17.0,2.0,1.0
13179,30Q126,ALBERT SHANKER SCHOOL FOR VISUAL AND PERFORMING ARTS,2015,160,290.0,63.0,72.0,16.0,9.0
13201,30Q127,P.S. 127 AEROSPACE SCIENCE MAGNE,2015,129,295.0,50.0,57.0,15.0,7.0
13213,30Q141,I.S. 141 THE STEINWAY,2015,270,299.0,66.0,160.0,37.0,7.0
13225,30Q145,I.S. 145 JOSEPH PULITZER,2015,681,304.0,172.0,313.0,142.0,54.0
13329,30Q204,I.S. 204 OLIVER W. HOLMES,2015,167,297.0,52.0,80.0,28.0,7.0
13355,30Q227,I.S. 227 LOUIS ARMSTRONG,2015,451,327.0,24.0,158.0,185.0,84.0
13367,30Q230,I.S. 230,2015,332,324.0,34.0,110.0,112.0,76.0
13391,30Q235,ACADEMY FOR NEW AMERICANS,2015,61,296.0,22.0,28.0,6.0,5.0
13408,30Q286,"YOUNG WOMEN'S LEADERSHIP SCHOOL, ASTORIA",2015,83,307.0,12.0,52.0,12.0,7.0
13446,31R002,I.S. R002 GEORGE L. EGBERT,2015,192,282.0,98.0,77.0,16.0,1.0
13508,31R007,I.S. 007 ELIAS BERNSTEIN,2015,271,315.0,33.0,125.0,85.0,28.0
13650,31R024,I.S. 024 MYRA S. BARNES,2015,240,287.0,111.0,108.0,18.0,3.0
13675,31R027,I.S. 027 ANNING S. PRALL,2015,385,295.0,158.0,133.0,63.0,31.0
13737,31R034,I.S. 034 TOTTENVILLE,2015,259,316.0,25.0,124.0,91.0,19.0
13873,31R049,I.S. 49 BERTA A. DREYFUS,2015,234,274.0,151.0,70.0,12.0,1.0
13897,31R051,I.S. 051 EDWIN MARKHAM,2015,319,275.0,180.0,125.0,14.0,0.0
14007,31R061,I.S. 061 WILLIAM A MORRIS,2015,344,292.0,147.0,132.0,49.0,16.0
14019,31R063,MARSH AVENUE SCHOOL FOR EXPEDITIONARY LEARNING,2015,111,306.0,19.0,59.0,31.0,2.0
14056,31R072,I.S. 072 ROCCO LAURIE,2015,421,310.0,118.0,140.0,90.0,73.0
14078,31R075,I.S. 075 FRANK D. PAULO,2015,282,308.0,42.0,156.0,70.0,14.0
14104,31R080,THE MICHAEL J. PETRIDES SCHOOL,2015,93,323.0,10.0,30.0,39.0,14.0
14124,31R861,STATEN ISLAND SCHOOL OF CIVIC LEADERSHIP,2015,94,320.0,9.0,39.0,29.0,17.0
14145,32K045,P.S./I.S. 045 HORACE E. GREENE,2015,61,279.0,32.0,26.0,3.0,0.0
14241,32K162,J.H.S. 162 THE WILLOUGHBY,2015,151,286.0,71.0,66.0,11.0,3.0
14265,32K291,J.H.S. 291 ROLAND HAYES,2015,156,281.0,87.0,53.0,13.0,3.0
14290,32K347,I.S. 347 SCHOOL OF HUMANITIES,2015,107,291.0,36.0,60.0,11.0,0.0
14302,32K349,"I.S. 349 MATH, SCIENCE & TECH.",2015,131,288.0,60.0,61.0,9.0,1.0
14333,32K377,P.S. 377 ALEJANDRINA B. DE GAUTIER,2015,52,286.0,22.0,23.0,5.0,2.0
14348,32K383,J.H.S. 383 PHILIPPA SCHUYLER,2015,154,289.0,59.0,87.0,8.0,0.0
14370,32K384,P.S. /I.S. 384 FRANCES E. CARTER,2015,70,284.0,34.0,28.0,7.0,1.0
14389,32K562,EVERGREEN MIDDLE SCHOOL FOR URBAN EXPLORATION,2015,128,268.0,97.0,31.0,0.0,0.0
